epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3668.81,0.46902,0.71663,1.05665,0.48356,0.85798,0.56175,0.54383,0.27172,0.78741,0.6407,0.000848969,0.000848969,0.000848969
43,3755.15,0.44058,0.70387,1.03386,0.4134,0.91599,0.49997,0.48888,0.22315,1.20448,0.57395,0.000834822,0.000834822,0.000834822
44,3840.94,0.42916,0.67791,1.0322,0.46695,0.90144,0.51843,0.50508,0.26826,0.82028,0.64105,0.000820675,0.000820675,0.000820675
45,3926.8,0.44407,0.68091,1.03597,0.56935,0.81703,0.69359,0.6744,0.27739,0.67294,0.63473,0.000806528,0.000806528,0.000806528
46,4013.04,0.43681,0.68463,1.04742,0.54208,0.87885,0.61328,0.5949,0.26573,0.70463,0.64859,0.00079238,0.00079238,0.00079238
47,4098.87,0.42328,0.67411,1.0253,0.46872,0.76643,0.50893,0.49261,0.30461,0.97041,0.67113,0.000778233,0.000778233,0.000778233
48,4184.56,0.44515,0.6834,1.03765,0.47823,0.92036,0.53075,0.50221,0.31921,0.89526,0.68825,0.000764086,0.000764086,0.000764086
49,4270.24,0.43966,0.64698,1.03522,0.4646,0.85712,0.56777,0.55251,0.24117,0.85503,0.62567,0.000749939,0.000749939,0.000749939
50,4356.09,0.43983,0.66238,1.04597,0.50922,0.86448,0.57444,0.55473,0.28975,0.72598,0.65428,0.000735792,0.000735792,0.000735792
51,4442.8,0.41269,0.6599,1.01922,0.55124,0.74623,0.64349,0.6253,0.28249,0.74492,0.64119,0.000721645,0.000721645,0.000721645
52,4529.15,0.43665,0.6674,1.04712,0.62424,0.7004,0.67644,0.66218,0.2276,0.71588,0.60422,0.000707498,0.000707498,0.000707498
53,4615.51,0.42171,0.65973,1.02289,0.52737,0.80032,0.62999,0.60869,0.30933,0.81246,0.67096,0.000693351,0.000693351,0.000693351
54,4701.77,0.41777,0.64273,1.03056,0.48617,0.85309,0.533,0.52567,0.23247,0.7804,0.60628,0.000679204,0.000679204,0.000679204
55,4787.89,0.41533,0.64694,1.02301,0.54545,0.80064,0.64218,0.63272,0.23897,0.72708,0.62931,0.000665057,0.000665057,0.000665057
56,4873.8,0.41645,0.6502,1.03353,0.55361,0.77439,0.65436,0.64003,0.25564,0.73845,0.66164,0.000650909,0.000650909,0.000650909
57,4961.64,0.40492,0.64038,1.02991,0.53343,0.7871,0.63606,0.61725,0.2234,0.76863,0.60874,0.000636762,0.000636762,0.000636762
58,5049,0.40983,0.61761,1.02772,0.49356,0.79787,0.54324,0.5311,0.26389,0.84019,0.65714,0.000622615,0.000622615,0.000622615
59,5135.12,0.40648,0.62951,1.01911,0.59841,0.71247,0.6658,0.66052,0.22643,0.72686,0.59495,0.000608468,0.000608468,0.000608468
60,5221.02,0.40739,0.6284,1.02858,0.45436,0.91545,0.54632,0.54426,0.20156,0.89357,0.57999,0.000594321,0.000594321,0.000594321
61,5307.19,0.39668,0.59862,1.01359,0.48625,0.8046,0.56648,0.55775,0.25692,0.80681,0.6276,0.000580174,0.000580174,0.000580174
62,5392.86,0.40247,0.59675,1.01068,0.54941,0.78374,0.60249,0.59532,0.23701,0.77534,0.60777,0.000566027,0.000566027,0.000566027
63,5478.51,0.3983,0.59139,1.01635,0.48789,0.77794,0.53422,0.5252,0.23845,0.86957,0.59648,0.00055188,0.00055188,0.00055188
64,5564.64,0.3892,0.57475,1.01237,0.50841,0.90485,0.59516,0.5926,0.19361,0.71545,0.55383,0.000537733,0.000537733,0.000537733
65,5650.77,0.39383,0.56655,1.01639,0.46283,0.7988,0.53121,0.52293,0.23355,0.86663,0.59374,0.000523586,0.000523586,0.000523586
66,5736.77,0.39349,0.58449,1.00783,0.47643,0.82927,0.55439,0.55353,0.1882,0.84407,0.56777,0.000509438,0.000509438,0.000509438
67,5822.38,0.37968,0.59529,1.00617,0.5261,0.80655,0.69962,0.68836,0.2636,0.74611,0.60886,0.000495291,0.000495291,0.000495291
68,5909.35,0.3818,0.56349,1.00897,0.47212,0.82239,0.54818,0.54003,0.24789,0.81129,0.62028,0.000481144,0.000481144,0.000481144
69,5995.53,0.39188,0.58045,1.01445,0.48585,0.81024,0.56966,0.566,0.19415,0.78493,0.58685,0.000466997,0.000466997,0.000466997
70,6081.81,0.39273,0.57792,1.01994,0.49048,0.79472,0.55196,0.54529,0.23805,0.82292,0.59877,0.00045285,0.00045285,0.00045285
71,6168.05,0.36999,0.56479,0.99613,0.4754,0.88242,0.54833,0.54018,0.22613,0.90854,0.57734,0.000438703,0.000438703,0.000438703
72,6254.5,0.36748,0.55609,1.00172,0.52998,0.76022,0.62266,0.61716,0.20034,0.82241,0.56478,0.000424556,0.000424556,0.000424556
73,6340.4,0.36675,0.55203,0.99431,0.49119,0.85574,0.55569,0.54959,0.21869,0.88991,0.55829,0.000410409,0.000410409,0.000410409
74,6426.2,0.37007,0.55204,0.99688,0.53166,0.85277,0.61301,0.60854,0.19311,0.74076,0.54767,0.000396262,0.000396262,0.000396262
75,6512.25,0.36108,0.54033,0.99044,0.49859,0.80523,0.53398,0.53272,0.18526,1.00663,0.55029,0.000382115,0.000382115,0.000382115
76,6598.29,0.37078,0.5196,0.99902,0.5003,0.84041,0.53754,0.53036,0.20572,0.88127,0.56339,0.000367967,0.000367967,0.000367967
77,6683.95,0.36713,0.51762,0.99968,0.49219,0.796,0.54025,0.53417,0.19265,0.90125,0.56346,0.00035382,0.00035382,0.00035382
78,6770.65,0.36361,0.51462,0.99944,0.48631,0.84856,0.54118,0.53707,0.22306,0.93737,0.59819,0.000339673,0.000339673,0.000339673
79,6856.3,0.35827,0.50907,0.99912,0.5487,0.69065,0.60109,0.59522,0.20544,0.85262,0.57196,0.000325526,0.000325526,0.000325526
80,6941.87,0.36925,0.531,1.00794,0.47356,0.81685,0.54049,0.53062,0.17742,0.95678,0.55631,0.000311379,0.000311379,0.000311379
81,7027.95,0.34933,0.50512,0.99033,0.53865,0.81335,0.62834,0.61648,0.20485,0.7807,0.56418,0.000297232,0.000297232,0.000297232
82,7113.94,0.3599,0.5005,0.99175,0.47283,0.87651,0.52527,0.51596,0.20227,0.97325,0.56957,0.000283085,0.000283085,0.000283085
83,7200.67,0.35232,0.49697,0.99227,0.58106,0.73021,0.66511,0.65914,0.19836,0.79008,0.55389,0.000268938,0.000268938,0.000268938
84,7286.27,0.35143,0.48516,0.98461,0.50221,0.81133,0.55828,0.55461,0.18553,0.91708,0.52386,0.000254791,0.000254791,0.000254791
85,7372.45,0.34954,0.50998,0.99391,0.57281,0.82322,0.67819,0.6736,0.16888,0.86685,0.5227,0.000240644,0.000240644,0.000240644
86,7457.89,0.34895,0.48427,0.99725,0.46586,0.85688,0.51651,0.51108,0.19903,1.12599,0.55109,0.000226497,0.000226497,0.000226497
87,7544.48,0.34635,0.4891,0.99213,0.52901,0.75171,0.62901,0.61987,0.20554,0.78652,0.54663,0.000212349,0.000212349,0.000212349
88,7630.64,0.34656,0.47175,0.9868,0.49615,0.85339,0.55732,0.55378,0.20071,0.96428,0.54997,0.000198202,0.000198202,0.000198202
89,7716.72,0.33817,0.47796,0.97749,0.51092,0.84124,0.58167,0.57706,0.18421,0.88237,0.54718,0.000184055,0.000184055,0.000184055
90,7802.37,0.35211,0.48993,1.00106,0.48617,0.8489,0.55103,0.54879,0.17737,0.94536,0.54104,0.000169908,0.000169908,0.000169908
91,7887.13,0.42927,0.54693,1.17409,0.52611,0.86847,0.55843,0.55203,0.23077,0.97761,0.60078,0.000155761,0.000155761,0.000155761
92,7971.98,0.33736,0.39933,1.07712,0.5163,0.87697,0.56814,0.56632,0.16542,0.96975,0.56384,0.000141614,0.000141614,0.000141614
93,8056.81,0.32184,0.36984,1.08194,0.52558,0.89802,0.56814,0.56653,0.15846,0.91124,0.55928,0.000127467,0.000127467,0.000127467
94,8140.8,0.31078,0.33982,1.06661,0.49415,0.83999,0.57505,0.57241,0.16433,0.86941,0.53901,0.00011332,0.00011332,0.00011332
95,8226.11,0.30387,0.3362,1.06322,0.54885,0.89116,0.60339,0.60208,0.14628,0.80304,0.52395,9.91726e-05,9.91726e-05,9.91726e-05
96,8310.75,0.30186,0.32919,1.06486,0.53514,0.90106,0.57466,0.57283,0.14433,0.83623,0.52403,8.50255e-05,8.50255e-05,8.50255e-05
97,8395.48,0.286,0.30713,1.04777,0.5382,0.86741,0.58803,0.58625,0.14023,0.82664,0.51309,7.08784e-05,7.08784e-05,7.08784e-05
98,8479.99,0.30495,0.30265,1.06181,0.52782,0.83515,0.59273,0.59146,0.13685,0.84738,0.51105,5.67313e-05,5.67313e-05,5.67313e-05
99,8566.6,0.30214,0.32442,1.07039,0.54173,0.85895,0.60811,0.60705,0.13276,0.85034,0.50859,4.25842e-05,4.25842e-05,4.25842e-05
100,8654.17,0.28664,0.29309,1.04584,0.5351,0.86499,0.58887,0.58779,0.12892,0.89081,0.50901,2.84371e-05,2.84371e-05,2.84371e-05
